Open,High,Low,Close,Volume,Change,ma5,ma20,ma60,ma120
68600,69700,68200,68900,19311380,0.0102639296187683,67240.0,69180.0,69198.33333333333,69025.0
68000,68500,67700,68000,9724086,-0.0130624092888244,67500.0,69065.0,69133.33333333333,69049.16666666667
67900,68500,66800,67300,12599299,-0.0102941176470587,67760.0,68890.0,69031.66666666667,69065.83333333333
67700,69900,67400,69400,17299253,0.0312035661218423,68360.0,68835.0,68966.66666666667,69097.5
68900,70500,68800,70500,16493184,0.0158501440922189,68820.0,68815.0,68941.66666666667,69139.16666666667
69700,70000,69400,69500,13985012,-0.0141843971631205,68940.0,68705.0,68905.0,69174.16666666667
68900,69200,68100,68800,15204495,-0.0100719424460431,69100.0,68545.0,68868.33333333333,69200.0
68700,69100,68200,68400,11625959,-0.0058139534883721,69320.0,68455.0,68836.66666666667,69226.66666666667
68700,68800,67700,68500,12791710,0.0014619883040936,69140.0,68390.0,68805.0,69267.5
68800,68800,67900,68000,10610703,-0.0072992700729926,68640.0,68310.0,68771.66666666667,69300.0
67000,67900,66700,66700,15517624,-0.0191176470588235,68080.0,68200.0,68720.0,69317.5
67100,67300,66700,67300,11334726,0.0089955022488754,67780.0,68125.0,68646.66666666667,69332.5
66800,67800,66700,67300,10139270,0.0,67560.0,68020.0,68591.66666666667,69345.83333333333
67600,68300,66900,66900,14488892,-0.0059435364041604,67240.0,67935.0,68543.33333333333,69358.33333333333
67500,68900,67300,68600,13775256,0.0254110612855007,67360.0,67945.0,68501.66666666667,69387.5
70000,70000,69400,69700,16350031,0.0160349854227406,67960.0,68055.0,68498.33333333333,69419.16666666667
69700,70200,69500,69600,10322234,-0.0014347202295552,68420.0,68200.0,68511.66666666667,69455.0
69800,70900,69300,70900,22228489,0.0186781609195403,69140.0,68445.0,68555.0,69507.5
70600,70900,70000,70900,17228731,0.0,69940.0,68670.0,68595.0,69563.33333333333
71300,71400,69700,69900,12901310,-0.0141043723554301,70200.0,68755.0,68633.33333333333,69611.66666666667
69900,70800,69600,70300,12301373,0.005722460658083,70320.0,68825.0,68656.66666666667,69660.0
70000,70500,69500,70500,9684347,0.0028449502133711,70500.0,68950.0,68698.33333333333,69702.5
71300,71300,70300,70400,9246919,-0.001418439716312,70400.0,69105.0,68746.66666666667,69747.5
71000,71100,70600,70800,9567984,0.0056818181818181,70380.0,69175.0,68805.0,69785.83333333333
71600,72200,71500,72200,20148677,0.0197740112994351,70840.0,69260.0,68891.66666666667,69817.5
72500,73000,72300,72800,15860451,0.0083102493074791,71340.0,69425.0,68993.33333333333,69853.33333333333
72300,73000,72300,72500,11494644,-0.0041208791208791,71740.0,69610.0,69096.66666666667,69887.5
72100,73000,72100,72700,10610157,0.0027586206896552,72200.0,69825.0,69198.33333333333,69922.5
73100,73400,72700,72800,9712881,0.0013755158184318,72600.0,70040.0,69301.66666666667,69955.83333333333
72200,73000,71900,72800,11105143,0.0,72720.0,70280.0,69396.66666666667,69976.66666666667
73000,73200,72200,72400,6775614,-0.0054945054945054,72640.0,70565.0,69466.66666666667,69977.5
72400,72600,71700,71700,6676685,-0.0096685082872928,72480.0,70785.0,69543.33333333333,69980.0
71500,72100,71100,71300,9113857,-0.00557880055788,72200.0,70985.0,69618.33333333333,69983.33333333333
71400,72700,71300,72700,13283081,0.0196353436185132,72180.0,71275.0,69716.66666666667,69987.5
72400,72800,72200,72700,9283933,0.0,72160.0,71480.0,69810.0,69995.83333333333
72700,72800,72200,72800,15783714,0.0013755158184318,72240.0,71635.0,69908.33333333333,70010.83333333333
