Open,High,Low,Close,Volume,Change,MACD,RSI,TR,ATR,Upper_band,Lower_band,Log_Return,PriceChange,PosSum,NegSum
105000,110000,104000,108000,93491,0.023696682464454888,3190.1499553030735,71.92776998793254,6000.0,3730.0,104750.0,89830.0,0.023420274208098422,2500.0,7.0,5.0
110000,113500,108500,113500,120532,0.05092592592592582,3938.356351587732,77.30012867633728,5500.0,3805.0,105820.0,90600.0,0.04967160979723757,5500.0,7.0,5.0
113500,118000,111000,116500,199183,0.026431718061673992,4718.992629570406,79.59409575153995,7000.0,3980.0,107145.0,91225.0,0.026088436084297874,3000.0,8.0,4.0
116500,119000,114500,116000,132135,-0.0042918454935622075,5236.938515402217,78.17611190047576,4500.0,4065.0,108365.0,92105.0,-0.0043010818993905854,-500.0,8.0,5.0
115000,117500,113000,116500,118817,0.004310344827586299,5622.942402986635,78.5869341604569,4500.0,4065.0,109640.0,93380.0,0.004301081899390702,500.0,9.0,4.0
118000,120500,116000,116500,118710,0.0,5861.287985532981,78.5869341604569,4500.0,4120.0,110875.0,94395.0,0.0,0.0,8.0,4.0
116500,121000,116500,120500,87490,0.03433476394849788,6300.318991966356,81.77076283702189,4500.0,4195.0,112335.0,95555.0,0.033758479924954454,4000.0,9.0,3.0
122000,125500,121000,123500,98567,0.024896265560165887,6811.8068859872,83.72524312210557,5000.0,4305.0,113990.0,96770.0,0.024591403137322113,3000.0,9.0,3.0
123500,124500,119500,122000,131763,-0.012145748987854255,7015.259715935288,79.15543240071753,5000.0,4440.0,115670.0,97910.0,-0.012220111334775331,-1500.0,9.0,3.0
126500,126500,118500,125000,154148,0.024590163934426146,7334.030340926707,81.34813050912163,8000.0,4790.0,117930.0,98770.0,0.024292692569044483,3000.0,9.0,3.0
125500,125500,120500,121000,104990,-0.03200000000000003,7181.11239365871,70.6732198396214,5000.0,4970.0,119690.0,99810.0,-0.03252319170556006,-4000.0,9.0,4.0
119500,123000,119000,121000,186969,0.0,6979.4688464412175,70.6732198396214,4000.0,5020.0,121105.0,101025.0,0.0,0.0,8.0,4.0
122000,125000,119000,124000,157660,0.024793388429751984,6981.264143106251,73.67771115714265,6000.0,5170.0,122950.0,102270.0,0.024491020008295696,3000.0,8.0,4.0
124500,124500,120500,122000,206877,-0.016129032258064502,6743.567989289892,68.6297889075904,4000.0,5215.0,124360.0,103500.0,-0.01626052087178029,-2000.0,8.0,4.0
121000,123500,121000,121500,122145,-0.004098360655737654,6440.6029914076935,67.38677525879885,2500.0,5235.0,125745.0,104805.0,-0.004106781952653359,-500.0,7.0,5.0
121000,121500,118500,119500,98245,-0.016460905349794275,5970.295907694759,62.50974306078012,3000.0,4985.0,126195.0,106255.0,-0.016597891409037828,-2000.0,6.0,6.0
119000,119000,112500,113000,123943,-0.05439330543933052,5015.265618088393,49.875801100123425,7000.0,5150.0,127150.0,106550.0,-0.055928552659224764,-6500.0,5.0,7.0
